Country,State ,City,Station,Last_Update,Latitude,Longitude,Pollutant_ID,Pollutant_Min,Pollutant_Max,Pollutant_Avg,Pollution Range,Pollution Category
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",05-02-2026 14:00,25.366336,87.117468,SO2,9,16,13,7,Good
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",05-02-2026 14:00,25.366336,87.117468,OZONE,11,41,28,30,Good
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",05-02-2026 14:00,25.0328,85.41948,CO,66,100,86,34,Moderate
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",05-02-2026 14:00,26.2271665,84.3570427,PM2.5,33,77,46,44,Good
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",05-02-2026 14:00,30.735567,76.775714,PM2.5,32,120,69,88,Moderate
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",05-02-2026 14:00,30.735567,76.775714,PM10,30,90,56,60,Moderate
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",05-02-2026 14:00,21.371751,81.664929,CO,34,36,35,2,Good
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",05-02-2026 14:00,28.647622,77.315809,OZONE,6,29,9,23,Good
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",05-02-2026 14:00,22.08815,82.13737,PM2.5,62,160,89,98,Moderate
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",05-02-2026 14:00,22.08815,82.13737,PM10,73,148,100,75,Moderate
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",05-02-2026 14:00,21.194815,81.31477,OZONE,2,46,11,44,Good
India,Delhi,Delhi,"Bawana, Delhi - DPCC",05-02-2026 14:00,28.7762,77.051074,PM10,104,290,172,186,Poor
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",05-02-2026 14:00,28.6811736,77.3025234,NH3,5,12,10,7,Good
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-02-2026 14:00,28.54246,77.191651,PM10,97,184,145,87,Poor
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-02-2026 14:00,28.54246,77.191651,NO2,22,103,57,81,Moderate
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-02-2026 14:00,28.73282,77.170633,PM10,139,300,190,161,Poor
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-02-2026 14:00,28.73282,77.170633,NO2,50,153,112,103,Poor
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",05-02-2026 14:00,28.58028,77.233829,PM2.5,157,332,277,175,Very Poor
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",05-02-2026 14:00,28.58028,77.233829,CO,58,108,84,50,Moderate
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",05-02-2026 14:00,28.58028,77.233829,OZONE,3,162,162,159,Poor
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",05-02-2026 14:00,28.5918245,77.2273074,PM2.5,67,207,126,140,Poor
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",05-02-2026 14:00,28.5918245,77.2273074,OZONE,14,138,69,124,Moderate
India,Delhi,Delhi,"DTU, Delhi - CPCB",05-02-2026 14:00,28.7500499,77.1112615,NH3,10,13,10,3,Good
India,Delhi,Delhi,"DTU, Delhi - CPCB",05-02-2026 14:00,28.7500499,77.1112615,SO2,26,40,29,14,Good
India,Delhi,Delhi,"DTU, Delhi - CPCB",05-02-2026 14:00,28.7500499,77.1112615,CO,19,38,30,19,Good
India,Delhi,Delhi,"DTU, Delhi - CPCB",05-02-2026 14:00,28.7500499,77.1112615,OZONE,7,33,15,26,Good
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",05-02-2026 14:00,28.498571,77.26484,PM10,126,270,175,144,Poor
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",05-02-2026 14:00,28.498571,77.26484,CO,6,60,45,54,Good
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",05-02-2026 14:00,28.498571,77.26484,OZONE,14,140,65,126,Moderate
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",05-02-2026 14:00,28.5710274,77.0719006,PM2.5,197,370,295,173,Very Poor
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",05-02-2026 14:00,28.5627763,77.1180053,PM10,112,174,140,62,Poor
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-02-2026 14:00,28.611281,77.237738,NO2,44,146,92,102,Moderate
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-02-2026 14:00,28.611281,77.237738,NH3,19,22,20,3,Good
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-02-2026 14:00,28.611281,77.237738,SO2,4,13,8,9,Good
